CustomerID,Cluster,BehaviorSegment,TotalMRR,TotalSeats,TotalLogins,AvgActiveUsers,TotalAPICalls,TotalSessionMinutes,TicketCount,AvgResolutionHours,TenureYears,RetentionRecommendation
C1001,2,Growing Active Customers,278.6,6.0,148.0,4.5,10276.0,2241.4,4.0,38.675,3.2334017796030117,Encourage feature adoption and plan expansion while engagement is strong.
C1002,1,Low-Engagement New Customers,246.76,4.0,217.0,12.181818181818182,15512.0,3021.1,4.0,16.95,2.5927446954141,"Provide onboarding assistance, product education and early engagement campaigns."
C1003,1,Low-Engagement New Customers,278.6,6.0,187.0,7.25,19771.0,4734.2,3.0,39.06666666666666,3.0362765229295,"Provide onboarding assistance, product education and early engagement campaigns."
C1004,2,Growing Active Customers,80.36,9.0,82.0,4.2,14012.0,2530.0,0.0,34.905,2.568104038329911,Encourage feature adoption and plan expansion while engagement is strong.
C1005,2,Growing Active Customers,618.76,4.0,133.0,4.6923076923076925,13232.0,2102.0,3.0,43.5,2.7405886379192332,Encourage feature adoption and plan expansion while engagement is strong.
C1006,3,Support-Heavy At-Risk Customers,1618.92,2.0,86.0,12.75,8815.0,778.2,3.0,27.033333333333335,2.026009582477755,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1007,1,Low-Engagement New Customers,658.68,5.0,117.0,2.909090909090909,25511.0,5778.9,2.0,16.35,3.5017111567419574,"Provide onboarding assistance, product education and early engagement campaigns."
C1008,1,Low-Engagement New Customers,818.36,9.0,155.0,9.454545454545455,23906.0,2882.3,2.0,36.3,2.5927446954141,"Provide onboarding assistance, product education and early engagement campaigns."
C1009,0,High-Value Highly Engaged,2098.6,6.0,220.0,6.444444444444445,10535.0,4973.4,4.0,31.25,3.164955509924709,"Use proactive account management, loyalty benefits and expansion opportunities."
C1010,2,Growing Active Customers,278.6,6.0,81.0,5.5,4316.0,1004.6,6.0,42.03333333333333,2.861054072553046,Encourage feature adoption and plan expansion while engagement is strong.
C1011,1,Low-Engagement New Customers,262.68,5.0,96.0,2.4,22182.0,5213.3,2.0,60.45,3.375770020533881,"Provide onboarding assistance, product education and early engagement campaigns."
C1012,3,Support-Heavy At-Risk Customers,1978.68,5.0,14.0,0.7,6827.0,1715.3,1.0,46.0,3.6084873374401094,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1013,3,Support-Heavy At-Risk Customers,1931.28,11.0,0.0,0.0,71.0,242.1,1.0,71.1,1.7905544147843941,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1014,2,Growing Active Customers,68.6,6.0,37.0,3.6666666666666665,9530.0,1674.5,2.0,37.05,2.209445585215606,Encourage feature adoption and plan expansion while engagement is strong.
C1015,2,Growing Active Customers,246.76,4.0,61.0,2.8333333333333335,15818.0,3158.3,3.0,46.800000000000004,2.6940451745379876,Encourage feature adoption and plan expansion while engagement is strong.
C1016,2,Growing Active Customers,978.04,13.0,38.0,1.25,6672.0,1720.7,4.0,38.9,2.6913073237508556,Encourage feature adoption and plan expansion while engagement is strong.
C1017,2,Growing Active Customers,60.76,4.0,24.0,1.8571428571428572,2822.0,1829.2,3.0,50.166666666666664,2.305270362765229,Encourage feature adoption and plan expansion while engagement is strong.
C1018,3,Support-Heavy At-Risk Customers,2098.6,6.0,87.0,5.3,7947.0,2759.6,6.0,33.166666666666664,2.5544147843942504,"Prioritize support resolution, proactive outreach and issue-resolution follow-up."
C1019,2,Growing Active Customers,326.36,9.0,149.0,8.11111111111111,8711.0,2472.2999999999997,2.0,28.05,2.403832991101985,Encourage feature adoption and plan expansion while engagement is strong.
C1020,2,Growing Active Customers,68.6,6.0,55.0,4.714285714285714,4663.0,1145.0,5.0,37.7,2.809034907597536,Encourage feature adoption and plan expansion while engagement is strong.
C1021,1,Low-Engagement New Customers,76.44,8.0,264.0,7.4,22493.0,4930.3,4.0,38.625,3.3675564681724848,"Provide onboarding assistance, product education and early engagement campaigns."
C1022,1,Low-Engagement New Customers,64.68,5.0,44.0,1.0625,22354.0,3827.6,8.0,46.9625,2.9979466119096507,"Provide onboarding assistance, product education and early engagement campaigns."
C1023,2,Growing Active Customers,778.44,8.0,14.0,0.8,7528.0,1362.1,5.0,39.28,2.1464750171115674,Encourage feature adoption and plan expansion while engagement is strong.
C1024,2,Growing Active Customers,246.76,4.0,47.0,7.333333333333333,1144.0,770.4000000000001,2.0,58.55,1.9383983572895278,Encourage feature adoption and plan expansion while engagement is strong.
C1025,1,Low-Engagement New Customers,262.68,5.0,70.0,1.619047619047619,33541.0,5612.8,4.0,40.825,3.4277891854893907,"Provide onboarding assistance, product education and early engagement campaigns."
C1026,2,Growing Active Customers,698.6,6.0,62.0,4.375,6120.0,1204.1,1.0,52.7,2.3928815879534566,Encourage feature adoption and plan expansion while engagement is strong.
C1027,0,High-Value Highly Engaged,778.44,8.0,18.0,1.6666666666666667,2758.0,918.7,2.0,25.0,3.3894592744695413,"Use proactive account management, loyalty benefits and expansion opportunities."
C1028,0,High-Value Highly Engaged,294.52,7.0,206.0,6.473684210526316,14811.0,3007.7,4.0,27.25,3.3045859000684463,"Use proactive account management, loyalty benefits and expansion opportunities."
C1029,0,High-Value Highly Engaged,698.6,6.0,81.0,2.9166666666666665,14593.0,3177.8,6.0,26.333333333333332,2.6803559206023273,"Use proactive account management, loyalty benefits and expansion opportunities."
C1030,1,Low-Engagement New Customers,2458.36,9.0,396.0,11.0,16297.0,5676.0,2.0,37.099999999999994,3.4223134839151266,"Provide onboarding assistance, product education and early engagement campaigns."
C1031,2,Growing Active Customers,294.52,7.0,0.0,0.0,0.0,0.0,3.0,44.79999999999999,1.6618754277891854,Encourage feature adoption and plan expansion while engagement is strong.
C1032,2,Growing Active Customers,60.76,4.0,0.0,0.0,0.0,0.0,5.0,48.54,1.7084188911704312,Encourage feature adoption and plan expansion while engagement is strong.
C1033,1,Low-Engagement New Customers,342.28,10.0,146.0,6.642857142857143,18744.0,3730.3,5.0,54.220000000000006,2.8199863107460645,"Provide onboarding assistance, product education and early engagement campaigns."
