CustomerID,CompanyName,Industry,Country,City,EmployeeCount,SignupDate,AcquisitionChannel
C1001,Ishaan Joshi Systems,Unknown,India,Hyderabad,80.0,2023-07-02,Paid Ads
C1002,Tara Sharma Technologies,Finance,Uk,London,12.0,2024-02-21,Referral
C1003,Zoya Das Systems,Finance,Uae,Dubai,1200.0,2023-09-12,Organic Search
C1004,Diya Joshi Labs,Retail,Uk,Manchester,400.0,2024-03-01,Partner
C1005,Tara Joshi Systems,Logistics,Uk,London,1200.0,2023-12-29,Outbound
C1006,Sanjay Reddy Labs,Manufacturing,India,Hyderabad,35.0,2024-09-15,Organic Search
C1007,Sai Das Technologies,Logistics,India,Delhi,12.0,2023-03-26,Referral
C1008,Nikita Gupta Solutions,Logistics,Uae,Abu Dhabi,400.0,2024-02-21,Paid Ads
C1009,Rohan Patel Technologies,Education,Uae,Abu Dhabi,3000.0,2023-07-27,Outbound
C1010,Tara Iyer Labs,Manufacturing,India,Pune,12.0,2023-11-15,Partner
C1011,Rohan Iyer Solutions,Retail,Uae,Dubai,400.0,2023-05-11,Organic Search
C1012,Meera Patel Labs,Healthcare,Uae,Dubai,35.0,2023-02-15,Events
C1013,Farhan Das Industries,Retail,Uk,London,12.0,2024-12-10,Organic Search
C1014,Rahul Patel Industries,Media,India,Chennai,1200.0,2024-07-10,Partner
C1015,Sanjay Gupta Industries,Finance,India,Mumbai,35.0,2024-01-15,Partner
C1016,Diya Singh Industries,Media,Uk,Manchester,35.0,2024-01-16,Paid Ads
C1017,Rahul Reddy Solutions,Unknown,Usa,Seattle,12.0,2024-06-05,Paid Ads
C1018,Myra Khan Systems,Finance,Usa,Boston,150.0,2024-03-06,Referral
C1019,Deepak Nair Labs,Finance,Singapore,Singapore,150.0,2024-04-30,Outbound
C1020,Saanvi Menon Group,Retail,India,Chennai,400.0,2023-12-04,Referral
C1021,Vivaan Singh Systems,Finance,Usa,Seattle,35.0,2023-05-14,Organic Search
C1022,Rahul Singh Technologies,Retail,Usa,Boston,400.0,2023-09-26,Organic Search
C1023,Meera Menon Industries,Media,Usa,Boston,35.0,2024-08-02,Referral
C1024,Vivaan Verma Solutions,Retail,India,Bengaluru,12.0,2024-10-17,Paid Ads
C1025,Diya Singh Labs,Manufacturing,Usa,Seattle,1200.0,2023-04-22,Outbound
C1026,Vivaan Singh Solutions,Manufacturing,India,Mumbai,12.0,2024-05-04,Organic Search
C1027,Vihaan Bose Group,Manufacturing,India,Bengaluru,3000.0,2023-05-06,Paid Ads
C1028,Ananya Gupta Solutions,Manufacturing,India,Chennai,3000.0,2023-06-06,Partner
C1029,Sai Khan Technologies,Manufacturing,India,Pune,3000.0,2024-01-20,Referral
C1030,Rohan Bose Solutions,Finance,India,Delhi,1200.0,2023-04-24,Referral
C1031,Isha Khan Technologies,Logistics,India,Bengaluru,400.0,2025-01-26,Organic Search
C1032,Naveen Menon Industries,Retail,India,Pune,1200.0,2025-01-09,Events
